zipcode;city
9310;AALST
9320;AALST
9308;AALST
9300;AALST
9881;BELLEM
9880;AALTER
9910;AALTER
3201;LANGDORP
3200;AARSCHOT
3202;RILLAAR
2630;AARTSELAAR
1790;AFFLIGEM
6250;AISEAU-PRESLES
3570;ALKEN
8690;ALVERINGEM
8691;ALVERINGEM
4540;AMAY
4770;AMBLEVE
4771;HEPPENBACH
5300;ANDENNE
1070;ANDERLECHT
6150;ANDERLUES
5537;ANHEE
4432;ANS
4431;LONCIN
4430;ANS
4163;TAVIER
4160;ANTHISNES
4162;HODY
4161;VILLERS-AUX-TOURS
7640;ANTOING
7642;CALONNE
7643;FONTENOY
7641;BRUYELLE
2020;ANTWERPEN
2030;ANTWERPEN
2100;DEURNE
2000;ANTWERPEN
2180;EKEREN
2040;ANTWERPEN
2050;ANTWERPEN
2018;ANTWERPEN
2170;MERKSEM
2140;BORGERHOUT
2660;HOBOKEN
2060;ANTWERPEN
2600;BERCHEM
2610;WILRIJK
8570;ANZEGEM
8572;KASTER
8573;TIEGEM
8851;KOOLSKAMP
8850;ARDOOIE
2370;ARENDONK
6700;ARLON
6706;AUTELBAS
6704;GUIRSCH
3668;NIEL-BIJ-AS
3665;AS
1730;ASSE
1731;ASSE
9968;ASSENEDE
9961;BOEKHOUTE
9960;ASSENEDE
5332;CRUPET
5330;ASSESSE
5334;FLOREE
5336;COURRIERE
5333;SORINNE-LA-LONGUE
7812;ATH
7810;MAFFLE
7811;ARBRE
7800;ATH
7822;ATH
7804;ATH
7801;IRCHONWELZ
7802;ORMEIGNIES
7823;GIBECQ
7803;BOUVIGNIES
6717;ATTERT
6791;ATHUS
6792;AUBANGE
6790;AUBANGE
4880;AUBEL
1160;AUDERGHEM
8582;OUTRIJVE
8581;AVELGEM
8583;BOSSUIT
8580;AVELGEM
4342;HOGNOUL
4340;AWANS
4920;AYWAILLE
2387;BAARLE-HERTOG
4837;BAELEN
2490;BALEN
2491;OLMEN
4690;BASSENGE
6600;BASTOGNE
6500;BEAUMONT
6511;STREE
5570;BEAURAING
5571;WIESME
5573;MARTOUZIN-NEUVILLE
5572;FOCANT
5576;FROIDFONTAINE
5574;PONDR‚ME
1320;BEAUVECHAIN
8730;BEERNEM
2340;BEERSE
1654;HUIZINGEN
1652;ALSEMBERG
1650;BEERSEL
1653;DWORP
1651;LOT
3130;BEGIJNENDIJK
3460;BEKKEVOORT
3461;MOLENBEEK-WERSBEEK
7971;BELOEIL
7972;BELOEIL
7970;BELOEIL
7973;BELOEIL
1082;BERCHEM-SAINTE-AGATHE
3580;BERINGEN
3581;BEVERLO
3582;KOERSEL
3583;PAAL
2590;BERLAAR
9290;BERLARE
4257;BERLOZ
7321;BERNISSART
7320;BERNISSART
7322;BERNISSART
3061;LEEFDAAL
3060;BERTEM
6687;BERTOGNE
6686;FLAMIERGE
6688;LONGCHAMPS
6880;BERTRIX
9130;BEVEREN-WAAS
9120;BEVEREN-WAAS
4610;BEYNE-HEUSAY
3360;BIERBEEK
1547;BIEVENE
5555;BIEVRE
3740;BILZEN
3746;HOELBEEK
3742;MARTENSLINDE
7134;BINCHE
7131;WAUDREZ
7130;BINCHE
7133;BUVRINNES
8370;BLANKENBERGE
4671;BLEGNY
4672;SAINT-REMY
4670;BLEGNY
3950;BOCHOLT
2530;BOECHOUT
2531;VREMDE
2820;BONHEIDEN
2850;BOOM
3190;BOORTMEERBEEK
3191;HEVER
3840;BORGLOON
2880;BORNEM
2150;BORSBEEK
6838;CORBION
6830;BOUILLON
6833;BOUILLON
6832;SENSENRUTH
6836;DOHAN
6834;BELLEVAUX
6831;NOIRFONTAINE
7300;BOUSSU
7301;HORNU
3370;BOUTERSEM
1420;BRAINE-L'ALLEUD
1421;OPHAIN-BOIS-SEIGNEUR-ISAAC
1428;LILLOIS-WITTERZEE
1440;BRAINE-LE-CH∂TEAU
7090;BRAINE-LE-COMTE
4260;BRAIVES
4263;TOURINNE
4261;LATINNE
9660;BRAKEL
9661;PARIKE
2930;BRASSCHAAT
2960;BRECHT
8450;BREDENE
3960;BREE
7940;BRUGELETTE
7942;MEVERGNIES-LEZ-LENS
7943;GAGES
7941;ATTRE
8380;BRUGGE
8310;BRUGGE
8200;BRUGGE
8000;BRUGGE
7620;BRUNEHAUT
7623;RONGY
7622;LAPLAIGNE
7624;HOWARDRIES
7621;LESDAIN
1000;BRUXELLES
1130;HAREN
1020;LAEKEN
1120;NEDER-OVER-HEEMBEEK
9255;BUGGENHOUT
4761;ROCHERATH
4760;BULLANGE
4210;BURDINNE
4790;BURG-REULAND
4791;THOMMEN
4750;BUTGENBACH
7760;CELLES
5630;CERFONTAINE
7160;CHAPELLE-LEZ-HERLAIMONT
6042;LODELINSART
6032;MONT-SUR-MARCHIENNE
6030;CHARLEROI
6000;CHARLEROI
6040;JUMET
6031;MONCEAU-SUR-SAMBRE
6043;RANSART
6041;GOSSELIES
6010;COUILLET
6060;GILLY
6001;MARCINELLE
6020;DAMPREMY
6061;MONTIGNIES-SUR-SAMBRE
6044;ROUX
1450;CHASTRE
6200;CH∂TELET
4053;EMBOURG
4051;VAUX-SOUS-CHEVREMONT
4050;CHAUDFONTAINE
4052;BEAUFAYS
1325;CHAUMONT-GISTOUX
7950;CHIEVRES
7951;TONGRE-NOTRE-DAME
6460;CHIMAY
6464;CHIMAY
6462;VAULX-LEZ-CHIMAY
6463;LOMPRET
6461;VIRELLES
6813;TERMES
6810;CHINY
6812;SUXY
6811;LES BULLES
5590;CINEY
4560;CLAVIER
7340;COLFONTAINE
4171;POULSEUR
4170;COMBLAIN-AU-PONT
7784;COMINES-WARNETON
7783;BIZET
7782;PLOEGSTEERT
7780;COMINES-WARNETON
7781;HOUTHEM
6183;TRAZEGNIES
6182;SOUVRET
6180;COURCELLES
6181;GOUY-LEZ-PIETON
1490;COURT-SAINT-ETIENNE
5660;COUVIN
4367;CRISNEE
4607;DALHEM
4608;DALHEM
4606;SAINT-ANDRE
8340;DAMME
6929;DAVERDISSE
8421;VLISSEGEM
8420;DE HAAN
8660;DE PANNE
9840;DE PINTE
8540;DEERLIJK
9850;DEINZE
9800;DEINZE
9472;IDDERGEM
9470;DENDERLEEUW
9473;WELLE
9200;DENDERMONDE
8720;DENTERGEM
2480;DESSEL
9070;DESTELBERGEN
3590;DIEPENBEEK
3294;MOLENSTEDE
3293;KAGGEVINNE
3290;DIEST
